time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
0.446155,-0.302961206,-0.360485485,0.163752449,1.708087607,-1.435806017,0.279567999,0.685689412,100,-0.222043719,-0.519635992,-0.081300982,1.731480814,0.198650512,0.373524322,0.456359284,100
0.446214,-0.302961206,-0.360485485,0.163752449,1.708087607,-1.435806017,0.279567999,0.685689412,100,-0.222043719,-0.519635992,-0.081300982,1.731480814,0.198650512,0.373524322,0.456359284,100
0.456309,-0.302194215,-0.361635971,0.163368954,1.707704112,-1.435806017,0.280334989,0.685689412,100,-0.221660224,-0.520019487,-0.081300982,1.73186431,0.198650512,0.373524322,0.45674278,100
0.466706,-0.303344701,-0.361252476,0.163752449,1.708087607,-1.436956503,0.280334989,0.685689412,100,-0.221660224,-0.520019487,-0.080917487,1.7326313,0.198267017,0.373524322,0.456359284,100
0.476528,-0.303344701,-0.361252476,0.163752449,1.708087607,-1.436956503,0.280334989,0.685689412,100,-0.221660224,-0.520019487,-0.080917487,1.7326313,0.198267017,0.373524322,0.456359284,100
0.486285,-0.302961206,-0.361252476,0.163752449,1.707704112,-1.436189513,0.280334989,0.685305917,100,-0.222043719,-0.520019487,-0.080917487,1.732247805,0.197883522,0.373140827,0.45674278,100
0.496538,-0.302961206,-0.361635971,0.164135944,1.708471103,-1.435806017,0.279951494,0.685305917,100,-0.222043719,-0.520019487,-0.082067972,1.731480814,0.198267017,0.372373836,0.45674278,100
0.506446,-0.303728196,-0.36086898,0.163368954,1.708471103,-1.435422522,0.280334989,0.685689412,100,-0.221660224,-0.519635992,-0.081300982,1.732247805,0.197883522,0.373907817,0.45674278,100
0.516304,-0.303728196,-0.36086898,0.163368954,1.708471103,-1.435422522,0.280334989,0.685689412,100,-0.221660224,-0.519635992,-0.081300982,1.732247805,0.197883522,0.373907817,0.45674278,100
0.526288,-0.303728196,-0.361635971,0.16451944,1.707320617,-1.435806017,0.279951494,0.685689412,100,-0.222427214,-0.520402982,-0.080917487,1.73186431,0.199034007,0.373907817,0.45674278,100
0.536282,-0.303344701,-0.36086898,0.163368954,1.708087607,-1.436189513,0.280718484,0.685305917,100,-0.222427214,-0.520019487,-0.080917487,1.73186431,0.199034007,0.373524322,0.457126275,100
0.546278,-0.303344701,-0.362019466,0.163752449,1.708087607,-1.436189513,0.279567999,0.686456403,100,-0.222043719,-0.520402982,-0.081300982,1.731480814,0.198650512,0.373907817,0.457126275,100
0.556511,-0.30257771,-0.361252476,0.164135944,1.707704112,-1.435806017,0.279951494,0.685689412,100,-0.221660224,-0.520019487,-0.080150496,1.731097319,0.198650512,0.373140827,0.457126275,100
0.566413,-0.303344701,-0.36086898,0.163752449,1.707704112,-1.435806017,0.279951494,0.685689412,100,-0.222043719,-0.520402982,-0.081300982,1.732247805,0.199417502,0.373907817,0.45674278,100
0.576307,-0.302961206,-0.36010199,0.163752449,1.708087607,-1.436189513,0.280334989,0.685689412,100,-0.222043719,-0.520402982,-0.080533991,1.73186431,0.198267017,0.373907817,0.456359284,100
0.5863,-0.303728196,-0.362019466,0.16451944,1.707704112,-1.436573008,0.280334989,0.685689412,100,-0.222427214,-0.520402982,-0.081684477,1.73186431,0.198650512,0.374291312,0.45674278,100
0.596285,-0.302961206,-0.360485485,0.163752449,1.708087607,-1.436189513,0.279951494,0.685689412,100,-0.222427214,-0.519252497,-0.080917487,1.732247805,0.198267017,0.373524322,0.457126275,100
0.606288,-0.302961206,-0.361635971,0.164135944,1.707704112,-1.436573008,0.280718484,0.684922422,100,-0.222043719,-0.519635992,-0.080533991,1.732247805,0.199034007,0.374291312,0.457126275,100
0.616283,-0.303728196,-0.36086898,0.164902935,1.707704112,-1.436189513,0.279951494,0.686072907,100,-0.222043719,-0.520402982,-0.081300982,1.731480814,0.198650512,0.373907817,0.456359284,100
0.626291,-0.302961206,-0.36086898,0.164135944,1.707704112,-1.435806017,0.279951494,0.685689412,100,-0.222043719,-0.520019487,-0.080917487,1.73186431,0.198650512,0.374674807,0.457126275,100
0.636464,-0.303344701,-0.36010199,0.16451944,1.708087607,-1.436189513,0.280334989,0.686072907,100,-0.222043719,-0.519635992,-0.080533991,1.73186431,0.198650512,0.374291312,0.45674278,100
0.646276,-0.303344701,-0.361635971,0.164135944,1.708471103,-1.435806017,0.281101979,0.686072907,100,-0.222043719,-0.520402982,-0.080917487,1.731480814,0.198650512,0.373524322,0.45674278,100
0.656274,-0.302961206,-0.362019466,0.164135944,1.707704112,-1.435422522,0.280718484,0.685689412,100,-0.221660224,-0.520402982,-0.081300982,1.731480814,0.198650512,0.373140827,0.456359284,100
0.666277,-0.302961206,-0.360485485,0.164135944,1.707704112,-1.436189513,0.279951494,0.685689412,100,-0.221660224,-0.520019487,-0.081300982,1.73186431,0.198650512,0.373907817,0.455975789,100
0.676287,-0.303344701,-0.36086898,0.164135944,1.708087607,-1.435806017,0.279567999,0.685689412,100,-0.221660224,-0.520019487,-0.080533991,1.73186431,0.198267017,0.372757331,0.457126275,100
0.686282,-0.302961206,-0.360485485,0.16451944,1.708087607,-1.436573008,0.279184503,0.685689412,100,-0.222043719,-0.520402982,-0.081684477,1.73186431,0.198267017,0.373524322,0.457126275,100
0.696527,-0.30257771,-0.361252476,0.16451944,1.707704112,-1.435806017,0.279951494,0.684922422,100,-0.221276729,-0.520402982,-0.080917487,1.732247805,0.198267017,0.373907817,0.45674278,100
0.706289,-0.30257771,-0.361252476,0.16451944,1.707704112,-1.435806017,0.279951494,0.684922422,100,-0.221276729,-0.520402982,-0.080917487,1.732247805,0.198267017,0.373907817,0.45674278,100
0.71628,-0.303344701,-0.36010199,0.16451944,1.708087607,-1.436189513,0.279951494,0.686072907,100,-0.222043719,-0.520402982,-0.080917487,1.732247805,0.199034007,0.373140827,0.457126275,100
0.726341,-0.303344701,-0.361635971,0.164902935,1.707704112,-1.436189513,0.279567999,0.686072907,100,-0.222043719,-0.520402982,-0.081300982,1.73186431,0.198650512,0.374291312,0.457126275,100
0.736283,-0.303344701,-0.361252476,0.16451944,1.708087607,-1.435806017,0.279951494,0.685689412,100,-0.222427214,-0.520019487,-0.081300982,1.7326313,0.198267017,0.374291312,0.457126275,100
0.746476,-0.302961206,-0.36086898,0.164902935,1.707704112,-1.435806017,0.279951494,0.685689412,100,-0.222427214,-0.520019487,-0.081300982,1.731480814,0.198650512,0.373524322,0.45674278,100
0.756284,-0.30257771,-0.36086898,0.164902935,1.708087607,-1.435806017,0.280718484,0.685689412,100,-0.222043719,-0.520019487,-0.081300982,1.731097319,0.199034007,0.373907817,0.45674278,100
0.766273,-0.302961206,-0.36086898,0.164902935,1.708087607,-1.435422522,0.279951494,0.685689412,100,-0.222427214,-0.520019487,-0.081684477,1.73186431,0.199034007,0.374291312,0.45674278,100
0.776276,-0.302961206,-0.360485485,0.16451944,1.708087607,-1.435806017,0.279951494,0.685689412,100,-0.222043719,-0.519635992,-0.082067972,1.731480814,0.198650512,0.373140827,0.45674278,100
0.786505,-0.302961206,-0.361252476,0.164902935,1.707704112,-1.436189513,0.279951494,0.685305917,100,-0.222427214,-0.520019487,-0.081300982,1.73186431,0.198650512,0.373524322,0.45674278,100
0.79628,-0.303728196,-0.36086898,0.164135944,1.707704112,-1.435806017,0.279951494,0.685689412,100,-0.222810709,-0.520019487,-0.080917487,1.73186431,0.198650512,0.373140827,0.45674278,100
0.806551,-0.302961206,-0.360485485,0.164902935,1.708087607,-1.435422522,0.280334989,0.685305917,100,-0.222043719,-0.520019487,-0.081300982,1.731480814,0.197883522,0.374674807,0.457126275,100
0.816278,-0.302961206,-0.361252476,0.164135944,1.707320617,-1.435422522,0.280334989,0.685689412,100,-0.222043719,-0.520402982,-0.080917487,1.731480814,0.198650512,0.374291312,0.457126275,100
0.826286,-0.303344701,-0.36086898,0.16451944,1.707320617,-1.436189513,0.279951494,0.685689412,100,-0.221660224,-0.520402982,-0.081300982,1.731097319,0.199034007,0.374291312,0.457126275,100
0.836277,-0.30257771,-0.361635971,0.16451944,1.708471103,-1.436189513,0.279567999,0.685689412,100,-0.221660224,-0.520786477,-0.080917487,1.73186431,0.198650512,0.374674807,0.456359284,100
0.846287,-0.303344701,-0.361252476,0.163752449,1.708087607,-1.436573008,0.280334989,0.686072907,100,-0.221660224,-0.520019487,-0.081300982,1.731480814,0.198267017,0.373524322,0.45674278,100
0.856287,-0.302961206,-0.36086898,0.16451944,1.707704112,-1.435422522,0.279567999,0.686072907,100,-0.221660224,-0.520786477,-0.080917487,1.731097319,0.199417502,0.373524322,0.45674278,100
0.866349,-0.303344701,-0.360485485,0.164135944,1.707704112,-1.436189513,0.280334989,0.685689412,100,-0.222427214,-0.521169973,-0.080150496,1.730713824,0.198650512,0.374291312,0.456359284,100
0.876278,-0.302961206,-0.361252476,0.164135944,1.707704112,-1.436189513,0.279951494,0.685689412,100,-0.222427214,-0.520402982,-0.080917487,1.731097319,0.199417502,0.375441798,0.457126275,100
0.886292,-0.303728196,-0.360485485,0.164135944,1.707704112,-1.436189513,0.280334989,0.685689412,100,-0.221276729,-0.520402982,-0.080917487,1.730713824,0.199034007,0.375058303,0.457126275,100
0.896499,-0.302961206,-0.360485485,0.164135944,1.707320617,-1.435039027,0.279951494,0.685689412,100,-0.222043719,-0.520786477,-0.080917487,1.730713824,0.198650512,0.374674807,0.45674278,100
0.906531,-0.30257771,-0.36086898,0.164902935,1.707704112,-1.435806017,0.279567999,0.686072907,100,-0.221660224,-0.520019487,-0.080917487,1.730330329,0.198267017,0.373524322,0.457126275,100
0.916275,-0.303728196,-0.360485485,0.164135944,1.707704112,-1.435422522,0.279567999,0.684922422,100,-0.221660224,-0.520402982,-0.080533991,1.730330329,0.198650512,0.373524322,0.45750977,100
0.926296,-0.30257771,-0.361252476,0.164135944,1.707704112,-1.435422522,0.279951494,0.685305917,100,-0.222043719,-0.520402982,-0.080917487,1.730713824,0.198267017,0.373907817,0.457126275,100
0.936282,-0.303344701,-0.361252476,0.16451944,1.708087607,-1.435806017,0.280334989,0.686839898,100,-0.222043719,-0.521169973,-0.081300982,1.730330329,0.198267017,0.373524322,0.457126275,100
0.946618,-0.302961206,-0.360485485,0.16451944,1.707704112,-1.435422522,0.279184503,0.685689412,100,-0.221660224,-0.520786477,-0.081300982,1.729946834,0.198267017,0.374291312,0.457126275,100
0.956283,-0.302961206,-0.360485485,0.16451944,1.707704112,-1.435422522,0.279184503,0.685689412,100,-0.221660224,-0.520402982,-0.080533991,1.730713824,0.198650512,0.373907817,0.45674278,100
0.966513,-0.302194215,-0.36086898,0.164902935,1.707320617,-1.435806017,0.280334989,0.686072907,100,-0.222043719,-0.520786477,-0.081300982,1.729946834,0.198650512,0.375058303,0.45674278,100
0.976279,-0.30257771,-0.361635971,0.16528643,1.708087607,-1.435422522,0.279951494,0.686072907,100,-0.221660224,-0.521169973,-0.080150496,1.730713824,0.197883522,0.373524322,0.456359284,100
0.986276,-0.30181072,-0.361252476,0.16451944,1.706937122,-1.436189513,0.280334989,0.685305917,100,-0.221660224,-0.521553468,-0.081300982,1.730713824,0.199034007,0.374674807,0.457126275,100
0.996271,-0.302961206,-0.361252476,0.16451944,1.708087607,-1.436189513,0.279951494,0.685689412,100,-0.222043719,-0.521553468,-0.081684477,1.730330329,0.198650512,0.374291312,0.45674278,100
1.006274,-0.302961206,-0.36086898,0.16451944,1.707704112,-1.436189513,0.279951494,0.686072907,100,-0.222427214,-0.520786477,-0.082067972,1.730330329,0.199034007,0.374674807,0.457126275,100
1.016273,-0.302961206,-0.360485485,0.16451944,1.708087607,-1.435806017,0.280334989,0.685305917,100,-0.222427214,-0.521169973,-0.080533991,1.730330329,0.199034007,0.374291312,0.45674278,100
1.026272,-0.30257771,-0.360485485,0.16451944,1.707704112,-1.435806017,0.280334989,0.685305917,100,-0.222427214,-0.521553468,-0.080917487,1.730713824,0.199034007,0.373907817,0.45674278,100
1.036503,-0.303344701,-0.361252476,0.164902935,1.707704112,-1.435806017,0.280334989,0.685305917,100,-0.222427214,-0.520786477,-0.081300982,1.730330329,0.199034007,0.374291312,0.45674278,100
